Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-07-08,300.0,338.0,280.0,280.0,166031300,0,0
2022-07-11,262.0,284.0,262.0,282.0,68301200,0,0
2022-07-12,284.0,302.0,280.0,298.0,47525600,0,0
2022-07-13,302.0,314.0,296.0,306.0,50381700,0,0
2022-07-14,310.0,320.0,298.0,314.0,52006600,0,0
2022-07-15,316.0,362.0,312.0,348.0,111648500,0,0
2022-07-18,350.0,376.0,336.0,346.0,39788500,0,0
2022-07-19,346.0,384.0,340.0,382.0,60760000,0,0
2022-07-20,390.0,412.0,382.0,412.0,47506600,0,0
2022-07-21,412.0,428.0,410.0,420.0,33884100,0,0
2022-07-22,424.0,428.0,404.0,422.0,39266300,0,0
2022-07-25,422.0,448.0,416.0,440.0,43107700,0,0
2022-07-26,444.0,550.0,440.0,550.0,142537000,0,0
2022-07-27,580.0,605.0,515.0,540.0,104779400,0,0
2022-07-28,540.0,580.0,520.0,530.0,34409700,0,0
2022-07-29,530.0,605.0,530.0,595.0,75151000,0,0
2022-08-01,600.0,630.0,585.0,595.0,53478700,0,0
2022-08-02,600.0,610.0,580.0,585.0,27464000,0,0
2022-08-03,590.0,600.0,580.0,580.0,34722000,0,0
2022-08-04,585.0,610.0,580.0,595.0,39784200,0,0
2022-08-05,595.0,610.0,585.0,595.0,34520400,0,0
2022-08-08,600.0,665.0,590.0,640.0,73654700,0,0
2022-08-09,645.0,655.0,600.0,600.0,54007100,0,0
2022-08-10,580.0,600.0,560.0,560.0,7978600,0,0
2022-08-11,525.0,575.0,525.0,565.0,59365100,0,0
2022-08-12,565.0,575.0,545.0,550.0,17905500,0,0
2022-08-15,555.0,570.0,545.0,550.0,26986100,0,0
2022-08-16,550.0,560.0,545.0,560.0,21518400,0,0
2022-08-18,560.0,615.0,555.0,610.0,73346100,0,0
2022-08-19,615.0,680.0,605.0,670.0,118882700,0,0
2022-08-22,675.0,695.0,625.0,670.0,98393600,0,0
2022-08-23,670.0,685.0,625.0,625.0,65136000,0,0
2022-08-24,585.0,615.0,585.0,605.0,66719000,0,0
2022-08-25,595.0,620.0,575.0,595.0,34285100,0,0
2022-08-26,600.0,600.0,555.0,560.0,42334100,0,0
2022-08-29,560.0,570.0,530.0,565.0,20909000,0,0
2022-08-30,570.0,585.0,565.0,580.0,25634600,0,0
2022-08-31,580.0,605.0,580.0,595.0,38661400,0,0
2022-09-01,595.0,600.0,575.0,590.0,16360300,0,0
2022-09-02,595.0,615.0,585.0,615.0,49633800,0,0
2022-09-05,615.0,635.0,610.0,620.0,40346500,0,0
2022-09-06,615.0,620.0,580.0,580.0,26833300,0,0
2022-09-07,575.0,580.0,545.0,560.0,21789100,0,0
2022-09-08,560.0,575.0,545.0,555.0,20691800,0,0
2022-09-09,520.0,590.0,520.0,590.0,56123900,0,0
2022-09-12,590.0,600.0,570.0,590.0,24092500,0,0
2022-09-13,590.0,665.0,585.0,625.0,133886500,0,0
2022-09-14,620.0,650.0,615.0,635.0,29952000,0,0
2022-09-15,640.0,700.0,635.0,680.0,98999500,0,0
2022-09-16,680.0,695.0,665.0,670.0,29480500,0,0
2022-09-19,670.0,695.0,645.0,680.0,29161000,0,0
2022-09-20,680.0,695.0,670.0,695.0,17959200,0,0
2022-09-21,695.0,695.0,665.0,695.0,15651400,0,0
2022-09-22,695.0,835.0,690.0,800.0,103793000,0,0
2022-09-23,805.0,805.0,745.0,800.0,55402600,0,0
