Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-09,322.0,344.0,322.0,344.0,23388400,0,0
2018-10-10,426.0,430.0,350.0,368.0,214604100,0,0
2018-10-11,370.0,370.0,346.0,352.0,74541200,0,0
2018-10-12,352.0,356.0,334.0,350.0,33906900,0,0
2018-10-15,350.0,358.0,334.0,342.0,42976900,0,0
2018-10-16,342.0,342.0,328.0,336.0,24639900,0,0
2018-10-17,338.0,346.0,334.0,338.0,35018600,0,0
2018-10-18,338.0,344.0,336.0,340.0,20040400,0,0
2018-10-19,340.0,344.0,336.0,338.0,26924200,0,0
2018-10-22,338.0,348.0,338.0,338.0,23689000,0,0
2018-10-23,338.0,340.0,332.0,332.0,18047700,0,0
2018-10-24,332.0,342.0,326.0,334.0,42168500,0,0
2018-10-25,330.0,338.0,328.0,338.0,39312100,0,0
2018-10-26,340.0,364.0,336.0,350.0,72133800,0,0
2018-10-29,350.0,360.0,348.0,356.0,54896500,0,0
2018-10-30,356.0,360.0,342.0,350.0,21803700,0,0
2018-10-31,350.0,358.0,344.0,354.0,36075100,0,0
2018-11-01,352.0,354.0,346.0,346.0,19838900,0,0
2018-11-02,346.0,354.0,346.0,352.0,30758700,0,0
2018-11-05,352.0,352.0,346.0,348.0,17964800,0,0
2018-11-06,348.0,352.0,344.0,348.0,15286200,0,0
2018-11-07,350.0,350.0,344.0,344.0,18579500,0,0
2018-11-08,346.0,360.0,344.0,354.0,34461700,0,0
2018-11-09,356.0,358.0,344.0,354.0,14113400,0,0
2018-11-12,354.0,360.0,334.0,352.0,30253900,0,0
2018-11-13,350.0,352.0,346.0,346.0,18021000,0,0
2018-11-14,346.0,350.0,340.0,344.0,21331200,0,0
2018-11-15,344.0,368.0,340.0,360.0,46363600,0,0
2018-11-16,368.0,370.0,358.0,358.0,28133000,0,0
2018-11-19,358.0,370.0,356.0,366.0,31875500,0,0
2018-11-20,366.0,366.0,366.0,366.0,0,0,0
2018-11-21,364.0,364.0,358.0,362.0,12192300,0,0
2018-11-22,362.0,370.0,362.0,364.0,22709200,0,0
2018-11-23,364.0,370.0,364.0,368.0,15989900,0,0
2018-11-26,366.0,370.0,360.0,366.0,22353400,0,0
2018-11-27,368.0,368.0,358.0,366.0,16246400,0,0
2018-11-28,366.0,366.0,352.0,354.0,15980000,0,0
2018-11-29,354.0,358.0,350.0,358.0,17900900,0,0
2018-11-30,358.0,358.0,352.0,358.0,16720800,0,0
2018-12-03,358.0,360.0,354.0,354.0,14968100,0,0
2018-12-04,354.0,356.0,350.0,350.0,16690300,0,0
2018-12-05,348.0,358.0,344.0,358.0,22155200,0,0
2018-12-06,358.0,358.0,346.0,354.0,19437600,0,0
2018-12-07,354.0,378.0,354.0,376.0,49856300,0,0
2018-12-10,378.0,388.0,374.0,382.0,36019700,0,0
2018-12-11,384.0,386.0,376.0,378.0,13706400,0,0
2018-12-12,378.0,380.0,370.0,376.0,15072500,0,0
2018-12-13,376.0,376.0,370.0,374.0,9001300,0,0
2018-12-14,374.0,382.0,372.0,372.0,17347500,0,0
2018-12-17,372.0,376.0,358.0,362.0,17053400,0,0
2018-12-18,362.0,372.0,348.0,372.0,48838900,0,0
2018-12-19,372.0,374.0,364.0,364.0,15931000,0,0
2018-12-20,366.0,370.0,362.0,364.0,14741900,0,0
2018-12-21,364.0,366.0,356.0,356.0,17885400,0,0
2018-12-24,356.0,356.0,356.0,356.0,0,0,0
2018-12-25,356.0,356.0,356.0,356.0,0,0,0
2018-12-26,356.0,364.0,350.0,364.0,17963700,0,0
2018-12-27,364.0,368.0,360.0,368.0,15858300,0,0
2018-12-28,368.0,372.0,364.0,372.0,18130500,0,0
2018-12-31,372.0,372.0,372.0,372.0,0,0,0
2019-01-01,372.0,372.0,372.0,372.0,0,0,0
2019-01-02,372.0,374.0,362.0,362.0,15346800,0,0
2019-01-03,362.0,364.0,358.0,364.0,14569500,0,0
2019-01-04,364.0,364.0,358.0,358.0,17161500,0,0
2019-01-07,358.0,360.0,356.0,358.0,14574700,0,0
2019-01-08,358.0,358.0,350.0,350.0,19759200,0,0
2019-01-09,350.0,360.0,350.0,354.0,16922900,0,0
2019-01-10,356.0,356.0,350.0,352.0,14607000,0,0
2019-01-11,350.0,358.0,350.0,356.0,16399700,0,0
2019-01-14,356.0,368.0,356.0,364.0,22378900,0,0
2019-01-15,366.0,380.0,366.0,374.0,26447800,0,0
2019-01-16,376.0,380.0,370.0,370.0,14673300,0,0
2019-01-17,370.0,370.0,360.0,360.0,15497600,0,0
2019-01-18,360.0,366.0,360.0,362.0,15128700,0,0
2019-01-21,362.0,366.0,356.0,362.0,16315500,0,0
2019-01-22,362.0,368.0,362.0,364.0,15190900,0,0
2019-01-23,364.0,368.0,362.0,366.0,16389300,0,0
2019-01-24,368.0,370.0,366.0,370.0,15538100,0,0
2019-01-25,372.0,374.0,362.0,362.0,10855100,0,0
2019-01-28,360.0,364.0,350.0,350.0,21898600,0,0
2019-01-29,350.0,360.0,350.0,350.0,17726400,0,0
2019-01-30,352.0,370.0,352.0,366.0,28512400,0,0
2019-01-31,370.0,372.0,366.0,370.0,17821600,0,0
2019-02-01,370.0,370.0,358.0,360.0,14628300,0,0
2019-02-04,362.0,366.0,358.0,362.0,14470600,0,0
2019-02-05,362.0,362.0,362.0,362.0,0,0,0
2019-02-06,362.0,364.0,358.0,358.0,16038400,0,0
2019-02-07,358.0,362.0,354.0,356.0,16221400,0,0
2019-02-08,356.0,358.0,354.0,356.0,13991800,0,0
2019-02-11,356.0,362.0,350.0,354.0,27298300,0,0
2019-02-12,354.0,356.0,348.0,352.0,17195200,0,0
2019-02-13,354.0,354.0,348.0,350.0,15698100,0,0
2019-02-14,350.0,352.0,346.0,350.0,14083600,0,0
2019-02-15,352.0,364.0,352.0,358.0,17388100,0,0
2019-02-18,360.0,362.0,350.0,356.0,16506600,0,0
2019-02-19,356.0,356.0,350.0,352.0,15847600,0,0
2019-02-20,352.0,354.0,350.0,350.0,13968600,0,0
2019-02-21,350.0,352.0,342.0,348.0,19310600,0,0
2019-02-22,348.0,356.0,348.0,354.0,18196700,0,0
2019-02-25,354.0,360.0,352.0,360.0,20833800,0,0
2019-02-26,360.0,398.0,356.0,398.0,26264200,0,0
2019-02-27,390.0,390.0,360.0,368.0,18401800,0,0
2019-02-28,368.0,370.0,360.0,364.0,14969000,0,0
2019-03-01,364.0,370.0,364.0,366.0,13133000,0,0
2019-03-04,366.0,368.0,362.0,364.0,14874100,0,0
2019-03-05,364.0,364.0,356.0,356.0,12468700,0,0
2019-03-06,358.0,366.0,356.0,362.0,14849500,0,0
2019-03-07,362.0,362.0,362.0,362.0,0,0,0
2019-03-08,362.0,362.0,356.0,362.0,18074300,0,0
2019-03-11,362.0,362.0,358.0,360.0,11852700,0,0
2019-03-12,360.0,360.0,354.0,356.0,14608100,0,0
2019-03-13,356.0,364.0,356.0,358.0,13414400,0,0
2019-03-14,360.0,364.0,358.0,358.0,14901100,0,0
2019-03-15,360.0,362.0,356.0,360.0,11826000,0,0
2019-03-18,362.0,370.0,362.0,362.0,15473600,0,0
2019-03-19,362.0,366.0,358.0,362.0,13376500,0,0
2019-03-20,364.0,364.0,358.0,360.0,15038700,0,0
2019-03-21,360.0,360.0,356.0,360.0,12182100,0,0
2019-03-22,360.0,370.0,360.0,364.0,17629500,0,0
2019-03-25,362.0,362.0,354.0,354.0,14386300,0,0
2019-03-26,354.0,360.0,350.0,352.0,13712700,0,0
2019-03-27,352.0,356.0,350.0,350.0,15152700,0,0
2019-03-28,350.0,360.0,350.0,354.0,15353000,0,0
2019-03-29,350.0,356.0,348.0,350.0,16404600,0,0
2019-04-01,360.0,360.0,352.0,354.0,12990400,0,0
2019-04-02,356.0,356.0,354.0,354.0,15361600,0,0
2019-04-03,354.0,354.0,354.0,354.0,0,0,0
2019-04-04,354.0,354.0,350.0,352.0,15763000,0,0
2019-04-05,352.0,354.0,350.0,354.0,13235900,0,0
2019-04-08,354.0,354.0,348.0,350.0,15725400,0,0
2019-04-09,350.0,352.0,348.0,348.0,14534900,0,0
2019-04-10,346.0,354.0,344.0,350.0,14422700,0,0
2019-04-11,348.0,352.0,346.0,350.0,16449500,0,0
2019-04-12,350.0,354.0,350.0,352.0,13201500,0,0
2019-04-15,352.0,356.0,344.0,348.0,15130100,0,0
2019-04-16,346.0,352.0,344.0,350.0,20625000,0,0
2019-04-17,350.0,350.0,350.0,350.0,0,0,0
2019-04-18,348.0,352.0,344.0,346.0,14070600,0,0
